Koordinatensystem : Lambert konform konisch
Rechtswert        : 3732500 Meter
Hochwert          : 2677500 Meter
Hoehenlage        : 165 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
3732500 2677500  1  6  3  -1.5  990 241  3.1 6  3.1  88    0    0 255 -334  0
3732500 2677500  1  6  4  -1.6  990 231  2.6 6  3.1  89    0    0 251 -334  0
3732500 2677500  1  6  5  -1.5  990 241  3.7 7  3.1  90    0    0 256 -334  0
3732500 2677500  1  6  6  -1.7  990 251  2.7 7  3.2  92    0    0 263 -331  0
3732500 2677500  1  6  7  -1.6  990 291  2.3 8  3.2  94    0    0 269 -327  0
3732500 2677500  1  6  8  -1.4  990 360  1.9 8  3.3  94    0    0 276 -323  0
3732500 2677500  1  6  9  -1.9  991 359  1.7 8  3.2  93    0    0 279 -319  0
3732500 2677500  1  6 10  -1.8  992 350  2.4 7  3.1  91   10   27 276 -317  0
3732500 2677500  1  6 11  -2.2  993 350  3.0 6  2.9  88    6   54 266 -316  0
3732500 2677500  1  6 12  -2.1  993 350  2.4 6  2.8  85   27   75 259 -316  0
3732500 2677500  1  6 13  -2.1  993 350  3.0 7  2.8  85    0   75 263 -316  0
3732500 2677500  1  6 14  -1.8  993   0  3.6 7  2.7  82    0   49 268 -314  0
3732500 2677500  1  6 15  -2.0  993   0  3.4 7  2.7  80    0   37 267 -312  0
3732500 2677500  1  6 16  -2.4  993   1  4.3 7  2.6  80    0   17 266 -309  0
3732500 2677500  1  6 17  -3.4  994  21  4.3 7  2.4  78    0    4 263 -306  0
3732500 2677500  1  6 18  -4.1  995  20  3.8 7  2.3  79    0    0 262 -303  0
3732500 2677500  1  6 19  -4.1  996  11  3.5 8  2.4  83    0    0 267 -300  0
3732500 2677500  1  6 20  -4.4  997  11  3.5 7  2.4  84    0    0 266 -297  0
3732500 2677500  1  6 21  -4.4  998  40  3.4 8  2.3  82    0    0 263 -295  0
3732500 2677500  1  6 22  -4.4  998  30  3.0 7  2.3  83    0    0 261 -293  0
3732500 2677500  1  6 23  -4.4  998   9  2.9 7  2.4  85    0    0 256 -290  0
3732500 2677500  1  6 24  -4.5  999  11  2.7 7  2.4  87    0    0 255 -288  0
3732500 2677500  1  7  1  -4.3  999  11  3.4 8  2.5  89    0    0 257 -289  0
3732500 2677500  1  7  2  -3.9  999  11  3.3 8  2.6  90    0    0 258 -291  0
3732500 2677500  1  7  3  -4.2  999  34  4.1 8  2.5  89    0    0 256 -293  0
3732500 2677500  1  7  4  -4.8  999  46  3.8 8  2.4  87    0    0 254 -294  0
3732500 2677500  1  7  5  -4.9  999  31  3.2 8  2.3  87    0    0 253 -293  0
3732500 2677500  1  7  6  -4.9  999  30  3.5 8  2.4  88    0    0 253 -292  0
3732500 2677500  1  7  7  -5.0  999  53  3.2 7  2.4  88    0    0 249 -292  0
3732500 2677500  1  7  8  -5.2  999  40  3.4 7  2.3  89    0    0 246 -292  0
3732500 2677500  1  7  9  -5.6  999  40  3.7 8  2.3  89    0    0 247 -292  0
3732500 2677500  1  7 10  -6.1 1000  50  3.5 6  2.2  87    4   36 241 -291  0
3732500 2677500  1  7 11  -5.9 1000  41  3.2 6  2.1  87   19   78 233 -291  0
3732500 2677500  1  7 12  -5.4 1000  41  3.2 5  2.2  86   44  112 231 -292  0
3732500 2677500  1  7 13  -4.9 1000  60  2.8 6  2.2  83   18  110 233 -293  0
3732500 2677500  1  7 14  -5.3  999  50  2.6 6  2.2  83    8   91 237 -293  0
