Koordinatensystem : Lambert konform konisch
Rechtswert        : 3732500 Meter
Hochwert          : 2677500 Meter
Hoehenlage        : 165 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
3732500 2677500  1  5 18   0.2  986 180  4.6 5  2.7  69    0    0 255 -297  0
3732500 2677500  1  5 19   1.1  986 180  6.6 6  2.8  68    0    0 268 -301  0
3732500 2677500  1  5 20   1.8  985 180  7.5 6  3.1  71    0    0 278 -309  0
3732500 2677500  1  5 21   2.2  984 190  6.9 7  3.5  78    0    0 287 -315  0
3732500 2677500  1  5 22   2.9  983 190  7.7 7  3.8  82    0    0 295 -316  0
3732500 2677500  1  5 23   3.3  982 200  8.0 7  4.0  83    0    0 299 -317  0
3732500 2677500  1  5 24   4.1  981 190  8.4 8  4.2  82    0    0 308 -316  0
3732500 2677500  1  6  1   4.8  980 200  8.2 7  4.3  80    0    0 314 -316  0
3732500 2677500  1  6  2   4.8  979 200  7.0 7  4.5  82    0    0 313 -316  0
3732500 2677500  1  6  3   3.9  978 200  7.3 7  4.7  87    0    0 314 -316  0
3732500 2677500  1  6  4   4.0  978 200  7.0 7  4.7  91    0    0 314 -317  0
3732500 2677500  1  6  5   4.5  977 200  7.4 7  4.8  90    0    0 317 -317  0
3732500 2677500  1  6  6   4.8  977 210  7.1 8  4.8  88    0    0 324 -317  0
3732500 2677500  1  6  7   4.7  977 220  6.8 8  4.9  89    0    0 332 -317  0
3732500 2677500  1  6  8   5.1  977 220  6.6 8  5.1  92    0    0 334 -317  0
3732500 2677500  1  6  9   5.2  977 220  6.0 8  5.3  93    0    0 335 -317  0
3732500 2677500  1  6 10   5.7  978 210  5.3 8  5.4  93    0   14 337 -317  0
3732500 2677500  1  6 11   5.7  978 210  4.5 8  5.6  95    0   26 338 -317  0
3732500 2677500  1  6 12   7.0  978 209  7.0 8  5.7  92    0   40 340 -316  0
3732500 2677500  1  6 13   6.8  978 200  7.5 7  5.7  89    0   70 329 -317  0
3732500 2677500  1  6 14   7.3  977 200  8.0 7  5.7  88    0   67 312 -318  0
3732500 2677500  1  6 15   7.0  976 210  8.0 7  5.8  88    0   34 312 -317  0
3732500 2677500  1  6 16   7.0  975 200  7.2 8  5.9  91    0   16 329 -319  0
3732500 2677500  1  6 17   7.2  975 190  8.6 8  6.1  93    0    0 342 -325  0
3732500 2677500  1  6 18   7.9  975 210  9.6 8  6.3  94    0    0 344 -329  0
3732500 2677500  1  6 19   9.0  974 210 10.0 8  6.6  92    0    0 347 -330  0
3732500 2677500  1  6 20   9.3  974 210 10.3 7  6.7  89    0    0 340 -331  0
3732500 2677500  1  6 21   9.7  975 210 11.2 8  6.7  87    0    0 341 -334  0
3732500 2677500  1  6 22   9.3  975 220  9.6 7  6.8  88    0    0 341 -336  0
3732500 2677500  1  6 23   8.6  977 231  8.2 7  6.8  92    0    0 329 -336  0
3732500 2677500  1  6 24   7.2  979 260  6.7 8  6.4  93    0    0 336 -337  0
3732500 2677500  1  7  1   6.0  981 270  5.2 7  5.9  94    0    0 331 -338  0
3732500 2677500  1  7  2   5.4  983 260  3.7 8  5.6  96    0    0 328 -339  0
3732500 2677500  1  7  3   4.3  984 299  2.0 8  5.3  96    0    0 332 -338  0
3732500 2677500  1  7  4   3.9  985 247  1.8 5  5.1  96    0    0 309 -336  0
3732500 2677500  1  7  5   3.8  986 180  1.5 8  5.0  97    0    0 307 -333  0
3732500 2677500  1  7  6   4.0  986  90  1.6 8  5.1  98    0    0 327 -329  0
3732500 2677500  1  7  7   3.8  986  71  1.8 7  5.1  98    0    0 320 -324  0
3732500 2677500  1  7  8   3.9  986 195  1.5 6  5.1  98    0    0 306 -321  0
3732500 2677500  1  7  9   4.7  986 219  1.6 8  5.2  98    0    0 315 -319  0
3732500 2677500  1  7 10   8.5  986 211  2.9 8  5.9  95    0   18 335 -320  0
3732500 2677500  1  7 11   8.9  986 210  3.2 7  6.6  92    0   37 334 -327  0
3732500 2677500  1  7 12   9.2  986 210  4.5 7  6.7  91    0   44 326 -337  0
3732500 2677500  1  7 13   9.2  986 209  4.8 7  6.7  90    0   51 326 -345  0
3732500 2677500  1  7 14   9.4  985 199  6.2 7  6.9  92    0   47 325 -348  0
3732500 2677500  1  7 15   9.2  985 190  5.5 7  7.0  94    0   32 325 -349  0
3732500 2677500  1  7 16   8.9  985 190  4.6 8  7.0  95    0   20 335 -350  0
3732500 2677500  1  7 17   8.9  985 200  5.7 7  6.9  94    0    3 334 -348  0
3732500 2677500  1  7 18   9.2  984 210  6.0 7  6.7  91    0    0 319 -346  0
3732500 2677500  1  7 19   9.2  985 220  4.7 7  6.8  91    0    0 319 -345  0
3732500 2677500  1  7 20   8.9  985 210  5.7 7  6.7  91    0    0 321 -345  0
3732500 2677500  1  7 21   9.0  985 210  6.2 6  6.6  89    0    0 310 -345  0
3732500 2677500  1  7 22   9.0  985 220  6.4 3  6.4  88    0    0 266 -344  0
3732500 2677500  1  7 23   9.2  985 200  5.8 1  6.3  85    0    0 207 -344  0
3732500 2677500  1  7 24   9.2  986 200  7.8 1  6.3  84    0    0 181 -343  0
3732500 2677500  1  8  1   9.8  986 200  6.5 1  6.5  85    0    0 181 -343  0
3732500 2677500  1  8  2   9.9  985 190  5.4 3  6.5  84    0    0 193 -344  0
3732500 2677500  1  8  3  10.2  984 200  6.5 5  6.4  81    0    0 262 -344  0
3732500 2677500  1  8  4  10.8  984 200  8.5 5  6.6  80    0    0 295 -344  0
3732500 2677500  1  8  5  10.7  984 200  6.8 6  6.8  82    0    0 307 -345  0
3732500 2677500  1  8  6   9.9  984 210  6.6 8  6.9  85    0    0 332 -346  0
3732500 2677500  1  8  7   9.5  984 190  7.4 6  6.8  88    0    0 329 -346  0
3732500 2677500  1  8  8   9.9  983 190  8.4 4  6.6  86    0    0 298 -346  0
3732500 2677500  1  8  9  10.5  983 200  8.6 2  6.5  81    0    4 274 -345  0
3732500 2677500  1  8 10  11.4  983 200  9.3 3  6.3  74   28   38 275 -344  0
3732500 2677500  1  8 11  11.8  983 200 11.3 2  6.0  68  119   55 280 -344  0
3732500 2677500  1  8 12  12.3  983 210  9.3 5  5.9  65   66  103 293 -346  0
3732500 2677500  1  8 13  11.8  983 210  9.0 6  6.0  66   41  118 316 -350  0
3732500 2677500  1  8 14  13.0  983 220 11.4 6  6.0  64   35  109 321 -352  0
3732500 2677500  1  8 15  12.2  982 220 10.2 6  5.9  63    7   72 320 -354  0
3732500 2677500  1  8 16  11.8  982 210  9.0 8  6.0  67   67   34 333 -354  0
3732500 2677500  1  8 17  11.4  983 210  7.4 7  6.1  70    1    9 339 -353  0
3732500 2677500  1  8 18  10.5  983 210  7.4 7  6.3  75    0    0 332 -353  0
3732500 2677500  1  8 19  10.9  984 210  7.8 5  6.3  76    0    0 319 -353  0
3732500 2677500  1  8 20  11.1  984 210  5.7 5  6.2  74    0    0 308 -352  0
3732500 2677500  1  8 21  10.6  984 210  6.6 6  6.3  76    0    0 314 -352  0
3732500 2677500  1  8 22   9.5  985 210  6.2 8  6.6  83    0    0 332 -352  0
3732500 2677500  1  8 23   9.2  985 220  5.3 8  6.8  90    0    0 342 -351  0
3732500 2677500  1  8 24   9.1  985 220  5.2 8  6.8  91    0    0 340 -348  0
3732500 2677500  1  9  1   8.5  985 230  4.0 7  6.7  92    0    0 333 -344  0
3732500 2677500  1  9  2   8.2  985 230  3.6 8  6.6  94    0    0 333 -340  0
3732500 2677500  1  9  3   7.0  985 290  3.9 8  6.3  94    0    0 337 -336  0
3732500 2677500  1  9  4   5.8  986 310  3.1 8  5.7  93    0    0 332 -334  0
3732500 2677500  1  9  5   4.9  986 270  4.4 8  5.3  92    0    0 328 -331  0
3732500 2677500  1  9  6   4.0  987 250  4.6 7  4.9  91    0    0 316 -328  0
3732500 2677500  1  9  7   3.7  987 240  4.2 8  4.7  91    0    0 311 -325  0
3732500 2677500  1  9  8   3.7  988 230  4.0 8  4.6  91    0    0 316 -322  0
3732500 2677500  1  9  9   3.6  989 220  4.3 8  4.6  90    0    3 315 -320  0
3732500 2677500  1  9 10   3.7  990 220  4.0 8  4.5  89    5   40 313 -319  0
3732500 2677500  1  9 11   4.2  991 220  4.3 5  4.5  87   27   93 291 -321  0
